Datetime,Water Level (m)
2024-08-15 06:00:00,0.4311388
2024-08-15 07:00:00,0.30098957
2024-08-15 08:00:00,0.21811421
2024-08-15 09:00:00,0.19716413
2024-08-15 10:00:00,0.2632095
2024-08-15 11:00:00,0.42814425
2024-08-15 12:00:00,0.62029105
2024-08-15 13:00:00,0.75468236
2024-08-15 14:00:00,0.7889504
2024-08-15 15:00:00,0.72334534
2024-08-15 16:00:00,0.59243214
2024-08-15 17:00:00,0.4183276
2024-08-15 18:00:00,0.23521934
2024-08-15 19:00:00,0.08132925
2024-08-15 20:00:00,-0.022028023
2024-08-15 21:00:00,-0.059129782
2024-08-15 22:00:00,0.01257269
2024-08-15 23:00:00,0.2525984
2024-08-16 00:00:00,0.57558036
2024-08-16 01:00:00,0.88687414
2024-08-16 02:00:00,1.113737
2024-08-16 03:00:00,1.210989
2024-08-16 04:00:00,1.1852336
2024-08-16 05:00:00,1.040515
2024-08-16 06:00:00,0.8271372
2024-08-16 07:00:00,0.6140928
2024-08-16 08:00:00,0.41543034
2024-08-16 09:00:00,0.24265195
2024-08-16 10:00:00,0.12190491
2024-08-16 11:00:00,0.06900118
2024-08-16 12:00:00,0.14611979
2024-08-16 13:00:00,0.3958843
2024-08-16 14:00:00,0.6537481
2024-08-16 15:00:00,0.8243287
2024-08-16 16:00:00,0.856431
2024-08-16 17:00:00,0.74682605
2024-08-16 18:00:00,0.543414
2024-08-16 19:00:00,0.31364536
2024-08-16 20:00:00,0.10608162
2024-08-16 21:00:00,-0.06524034
2024-08-16 22:00:00,-0.18636277
2024-08-16 23:00:00,-0.19604431
2024-08-17 00:00:00,0.064356886
2024-08-17 01:00:00,0.45233744
2024-08-17 02:00:00,0.8283659
2024-08-17 03:00:00,1.13158
2024-08-17 04:00:00,1.3228015
2024-08-17 05:00:00,1.313205
2024-08-17 06:00:00,1.127832
2024-08-17 07:00:00,0.8597209
2024-08-17 08:00:00,0.58626217
2024-08-17 09:00:00,0.34342057
2024-08-17 10:00:00,0.14978664
2024-08-17 11:00:00,0.005199427
2024-08-17 12:00:00,-0.052363534
2024-08-17 13:00:00,0.16530333
2024-08-17 14:00:00,0.562427
2024-08-17 15:00:00,0.9089257
2024-08-17 16:00:00,1.1375097
2024-08-17 17:00:00,1.1877043
2024-08-17 18:00:00,1.0133761
2024-08-17 19:00:00,0.71799976
2024-08-17 20:00:00,0.42222607
2024-08-17 21:00:00,0.16849855
2024-08-17 22:00:00,-0.037579834
2024-08-17 23:00:00,-0.19630344
2024-08-18 00:00:00,-0.24319302
2024-08-18 01:00:00,0.078918815
2024-08-18 02:00:00,0.5824155
2024-08-18 03:00:00,1.0484282
2024-08-18 04:00:00,1.4352527
2024-08-18 05:00:00,1.5813938
2024-08-18 06:00:00,1.4699578
2024-08-18 07:00:00,1.1991204
2024-08-18 08:00:00,0.8711578
2024-08-18 09:00:00,0.55975133
2024-08-18 10:00:00,0.29710642
2024-08-18 11:00:00,0.08850882
2024-08-18 12:00:00,-0.07155819
2024-08-18 13:00:00,-0.1175295
2024-08-18 14:00:00,0.23214746
2024-08-18 15:00:00,0.7079981
2024-08-18 16:00:00,1.1023128
2024-08-18 17:00:00,1.360889
2024-08-18 18:00:00,1.3369493
2024-08-18 19:00:00,1.0718122
2024-08-18 20:00:00,0.7285861
2024-08-18 21:00:00,0.41125062
2024-08-18 22:00:00,0.13968317
2024-08-18 23:00:00,-0.080702096
2024-08-19 00:00:00,-0.2568547
2024-08-19 01:00:00,-0.30754334
2024-08-19 02:00:00,0.10959699
2024-08-19 03:00:00,0.67656934
2024-08-19 04:00:00,1.2286216
2024-08-19 05:00:00,1.659673
2024-08-19 06:00:00,1.7593261
2024-08-19 07:00:00,1.5711299
2024-08-19 08:00:00,1.2255187
2024-08-19 09:00:00,0.8569007
2024-08-19 10:00:00,0.5217098
2024-08-19 11:00:00,0.25039855
2024-08-19 12:00:00,0.025766572
2024-08-19 13:00:00,-0.15200956
2024-08-19 14:00:00,-0.16320801
2024-08-19 15:00:00,0.318586
2024-08-19 16:00:00,0.8465661
2024-08-19 17:00:00,1.3096302
2024-08-19 18:00:00,1.5524889
2024-08-19 19:00:00,1.4372178
2024-08-19 20:00:00,1.1218061
2024-08-19 21:00:00,0.75339067
2024-08-19 22:00:00,0.42153922
2024-08-19 23:00:00,0.13997339
2024-08-20 00:00:00,-0.09446518
2024-08-20 01:00:00,-0.28147578
2024-08-20 02:00:00,-0.31567574
2024-08-20 03:00:00,0.20460823
2024-08-20 04:00:00,0.8230282
2024-08-20 05:00:00,1.4504362
2024-08-20 06:00:00,1.8164333
2024-08-20 07:00:00,1.8535655
2024-08-20 08:00:00,1.4986162
2024-08-20 09:00:00,1.1174196
2024-08-20 10:00:00,0.7383886
2024-08-20 11:00:00,0.4096077
2024-08-20 12:00:00,0.14013748
2024-08-20 13:00:00,-0.08125775
2024-08-20 14:00:00,-0.25008145
2024-08-20 15:00:00,-0.14281239
2024-08-20 16:00:00,0.44450754
2024-08-20 17:00:00,1.0286293
2024-08-20 18:00:00,1.532946
2024-08-20 19:00:00,1.6854738
2024-08-20 20:00:00,1.4570922
2024-08-20 21:00:00,1.0827858
2024-08-20 22:00:00,0.7011522
2024-08-20 23:00:00,0.37071782
2024-08-21 00:00:00,0.09882383
2024-08-21 01:00:00,-0.1298689
2024-08-21 02:00:00,-0.30441406
2024-08-21 03:00:00,-0.2147212
2024-08-21 04:00:00,0.3912107
2024-08-21 05:00:00,1.02014
2024-08-21 06:00:00,1.6370306
